1,"{'num_inference_steps': 24, 'guidance_scale': 9.474498617786217, 'negative_prompt': 483, 'positive_prompt': 4707, 'guidance_rescale': 0.23665719296677712, 'num_images_per_prompt': 4, 'seed': 209}","{'num_inference_steps': 24, 'guidance_scale': 9.474498617786217, 'negative_prompt': 483, 'positive_prompt': 4707, 'guidance_rescale': 0.23665719296677712, 'num_images_per_prompt': 4, 'seed': 209}"
1,"(0.6818749999999999, 10972.5908203125)","(0.6818749999999999, 10972.5908203125)"
2,"{'num_inference_steps': 66, 'guidance_scale': 7.273698774880604, 'negative_prompt': 30, 'positive_prompt': 7473, 'guidance_rescale': 0.256491852725225, 'num_images_per_prompt': 4, 'seed': 33}","{'num_inference_steps': 66, 'guidance_scale': 16.009008954664843, 'negative_prompt': 30, 'positive_prompt': 15747, 'guidance_rescale': 0.256491852725225, 'num_images_per_prompt': 4, 'seed': 303}","{'num_inference_steps': 66, 'guidance_scale': 16.009008954664843, 'negative_prompt': 30, 'positive_prompt': 15747, 'guidance_rescale': 0.256491852725225, 'num_images_per_prompt': 4, 'seed': 303}","{'num_inference_steps': 66, 'guidance_scale': 7.273698774880604, 'negative_prompt': 30, 'positive_prompt': 7473, 'guidance_rescale': 0.256491852725225, 'num_images_per_prompt': 4, 'seed': 33}"
2,"(0.7333333333333333, 28620.869140625)","(0.5955555555555554, 28603.91015625)","(0.5955555555555554, 28603.91015625)","(0.7333333333333333, 28620.869140625)"
3,"{'num_inference_steps': 26, 'guidance_scale': 2.419436100300032, 'negative_prompt': 97, 'positive_prompt': 6949, 'guidance_rescale': 0.87355091009866, 'num_images_per_prompt': 4, 'seed': 94}","{'num_inference_steps': 26, 'guidance_scale': 2.419436100300032, 'negative_prompt': 97, 'positive_prompt': 6949, 'guidance_rescale': 0.87355091009866, 'num_images_per_prompt': 4, 'seed': 94}"
3,"(0.7014285714285713, 11825.8583984375)","(0.7014285714285713, 11825.8583984375)"
