1,"{'num_inference_steps': 46, 'guidance_scale': 19.453991413247294, 'negative_prompt': 37, 'positive_prompt': 8383, 'guidance_rescale': 0.1657580288590924, 'num_images_per_prompt': 4, 'seed': 83}","{'num_inference_steps': 46, 'guidance_scale': 19.453991413247294, 'negative_prompt': 37, 'positive_prompt': 8383, 'guidance_rescale': 0.1657580288590924, 'num_images_per_prompt': 4, 'seed': 83}","{'num_inference_steps': 39, 'guidance_scale': 18.393185047539774, 'negative_prompt': 417, 'positive_prompt': 8383, 'guidance_rescale': 0.1657580288590924, 'num_images_per_prompt': 4, 'seed': 83}"
1,"(0.6483333333333334, 20065.421875)","(0.6483333333333334, 20065.421875)","(0.6229166666666665, 17171.783203125)"
2,"{'num_inference_steps': 72, 'guidance_scale': 7.273698774880604, 'negative_prompt': 163, 'positive_prompt': 7473, 'guidance_rescale': 0.256491852725225, 'num_images_per_prompt': 4, 'seed': 303}","{'num_inference_steps': 72, 'guidance_scale': 7.273698774880604, 'negative_prompt': 163, 'positive_prompt': 7473, 'guidance_rescale': 0.256491852725225, 'num_images_per_prompt': 4, 'seed': 303}","{'num_inference_steps': 72, 'guidance_scale': 14.50406765697543, 'negative_prompt': 388, 'positive_prompt': 5, 'guidance_rescale': 0.256491852725225, 'num_images_per_prompt': 4, 'seed': 394}","{'num_inference_steps': 72, 'guidance_scale': 14.50406765697543, 'negative_prompt': 282, 'positive_prompt': 5, 'guidance_rescale': 0.256491852725225, 'num_images_per_prompt': 4, 'seed': 33}"
2,"(0.7342857142857143, 30990.3828125)","(0.7342857142857143, 30990.3828125)","(0.6587499999999998, 30839.44921875)","(0.6941176470588238, 30972.35546875)"
3,"{'num_inference_steps': 53, 'guidance_scale': 9.783955186682597, 'negative_prompt': 37, 'positive_prompt': 12586, 'guidance_rescale': 0.7752242592694161, 'num_images_per_prompt': 4, 'seed': 94}","{'num_inference_steps': 53, 'guidance_scale': 9.783955186682597, 'negative_prompt': 37, 'positive_prompt': 12586, 'guidance_rescale': 0.7752242592694161, 'num_images_per_prompt': 4, 'seed': 94}","{'num_inference_steps': 53, 'guidance_scale': 9.783955186682597, 'negative_prompt': 37, 'positive_prompt': 12586, 'guidance_rescale': 0.7752242592694161, 'num_images_per_prompt': 4, 'seed': 290}"
3,"(0.7808333333333334, 22908.939453125)","(0.7808333333333334, 22908.939453125)","(0.7271428571428571, 22904.283203125)"
